SourceFile,ExtractTimestamp,PlanetFormID,PlanetEditorID,PlanetName,BodyType,StarSystemID,SystemName,ParentPlanetID,PlanetID,PlanetNotLandable,OceanWorld,SolarArrayPower,WindTurbinePower,PlanetaryHabitationRank
Starfield.esm,2026-09-04 12:50:50,002D5F53,_LC175StationRE939PlanetData,_LC175StationRE939,Orbital,71456,Alpha Centauri,11,28,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,002CF271,_LC018BattlePlanetData,LC018Battle,Orbital,0,SOL,3,39,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,002C890A,KapteynIIPlanetData,Kapteyn II,Planet,24129,Kapteyn's Star,0,3,1,0,,,
Starfield.esm,2026-09-04 12:50:50,002C88FA,KapteynIPlanetData,Kapteyn I,Planet,24129,Kapteyn's Star,0,2,0,0,4,0,0
Starfield.esm,2026-09-04 12:50:50,002C7831,SaganIPlanetData,Sagan I,Planet,72717,Sagan,0,1,0,0,2,0,1
Starfield.esm,2026-09-04 12:50:50,002BAD1E,_AkilaArrivalCellPlanetData,AkilaArrivalCell,Orbital,72432,Cheyenne,2,38,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,002BA5DF,_UC01PilotingSimulationPlanetData,UC01PilotingSimulation,Orbital,24129,Kapteyn's Star,2,4,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,00290FC8,ChthoniaPlanetData,Chthonia,Planet,118720,Wolf,0,1,0,0,8,0,1
Starfield.esm,2026-09-04 12:50:50,00290FC7,EthereaPlanetData,Etherea,Planet,118720,Wolf,0,2,1,0,,,
Starfield.esm,2026-09-04 12:50:50,00290FC6,PontemPlanetData,Pontem,Moon,118720,Wolf,2,3,0,0,2,0,1
Starfield.esm,2026-09-04 12:50:50,002900AC,_TheEyePlanetData,TheEye,Orbital,71456,Alpha Centauri,3,15,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,0026B3F5,_LC053SatellitePlanetData,LC053Satellite,Orbital,69451,Arcturus,2,6,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,0024CAFC,_scMS02TheBlakePlanetData,_scMS02TheBeagle,Orbital,59092,Zelazny,1,20,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,002494E1,_LC056OrbitalPlanetData,_LC056Orbital2,Orbital,85264,Sakharov,1,5,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,00246B8A,_UC06ShipBattlePlanetData,_UC06ShipBattle,Orbital,118720,Wolf,2,4,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,002373D8,_LC012ScowOrbitalPlanetData,Debris Field,Orbital,37173,Procyon A,11,17,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,0022EEDD,_NaevasShipPlanetData,The Astraea,Orbital,0,SOL,16,42,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,0022880E,_LC107LegacyOrbitalPlanetData,_LC107LegacyOrbital,Orbital,69793,Bannoc,4,9,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,00227699,_DR033StationPlanetData,_DR033Station,Orbital,72957,Olympus,1,22,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,002262E6,_StationUCN-48PlanetData,_StationUCN-48,Orbital,67711,Muphrid,4,31,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,002239DD,_StationTheKeyOrbitalPlanetData,The Key,Orbital,77022,Kryx,1,10,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,002239DC,_LC043SYOrbitalPlanetData,_LC043SYOrbital,Orbital,36107,Luyten's Star,1,2,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,00223320,_TridentLuxuryLinesOrbitalPlanetData,_TridentLuxuryLinesOrbital,Orbital,72432,Cheyenne,2,39,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,00220E5D,_EarthGravJumpArrivalPlanetData,EarthGravJumpArrival,Orbital,0,SOL,3,43,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,0021E061,PupIPlanetData,Pup I,Planet,119224,The Pup,0,11,0,0,2,0,1
Starfield.esm,2026-09-04 12:50:50,0021E060,Procyon-BIPlanetData,Procyon-B I,Planet,118493,Procyon B,0,1,0,0,8,0,0
Starfield.esm,2026-09-04 12:50:50,0021E05F,VanMaanenIPlanetData,Van Maanen I,Planet,3820,Van Maanen's Star,0,1,0,0,2,0,1
Starfield.esm,2026-09-04 12:50:50,0021A8B2,_SaturnGravJumpArrivalPlanetData,SaturnGravJumpArrival,Orbital,0,SOL,6,44,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,0021A8B1,_JupiterGravJumpArrivalPlanetData,JupiterGravJumpArrival,Orbital,0,SOL,5,45,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,0021951D,_LC099NovaShipyardPlanetData,_LC099NovaShipyard,Orbital,0,SOL,11,46,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,00216D2E,_TitanStationPlanetData,Titan Orbit,Orbital,0,SOL,24,47,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,00216D23,_VoliiAlphaStationPlanetData,Volii Station,Orbital,64720,Volii,2,13,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,00216D21,_GagarinStationPlanetData,Gagarin Station,Orbital,71456,Alpha Centauri,2,16,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,00216D1A,_MontaraLunaStationPlanetData,Montara Luna Station,Orbital,72432,Cheyenne,18,41,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,00216169,_JaffaStationPlanetData,Jaffa Station,Orbital,79431,Jaffa,4,22,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,00214659,_TheDenOrbitalPlanetData,The Den,Orbital,118720,Wolf,1,5,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,00212B50,_DeimosStaryardPlanetData,_DeimosStaryard,Orbital,0,SOL,13,49,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,002101AB,_StroudEklundStaryardPlanetData,Stroud-Eklund Staryard,Orbital,88327,Narion,12,20,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,0020E33C,_MaalVIIGravJumpArrivalPlanetData,MaalVIIGravJumpArrival,Orbital,74746,Maal,7,25,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,00208E7E,_ArchimedesIIArrivalOrbitalPlanetData,_ArchimedesIIArrivalOrbital,Orbital,75150,Archimedes,2,14,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,00206366,_EthereaRuinsPlanetData,_EthereaRuins,Orbital,118720,Wolf,2,6,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,001EDF4A,_scLC130_OrbitalPlanetData,_City_CY_StartUp01_scLC130_Orbital,Orbital,0,SOL,31,52,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,001EC02D,_DR032DerelictStationOrbitalPlanetData,_DR032DerelictStationOrbital,Orbital,103883,Bessel,2,7,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,001D9530,_COM_Quest_Andreja_Q01_OrbitalPlanetData,Battlefield Wreckage,Orbital,57767,Groombridge,2,28,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,001C7764,_scDefensiveBatteryAlphaOrbitalPlanetData,_scDefensiveBatteryAlphaOrbital,Orbital,77022,Kryx,1,12,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,001C7763,_scDefensiveBatteryBetaOrbitalPlanetData,_scDefensiveBatteryBetaOrbital,Orbital,77022,Kryx,1,13,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,001C7762,_scDefensiveBatteryGammaOrbitalPlanetData,_scDefensiveBatteryGammaOrbital,Orbital,77022,Kryx,1,14,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,001BB7FF,_LC130PlanetData,LC130,Orbital,0,SOL,4,53,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,001BB7FD,_LC137_HankFerrarosShipPlanetData,LC137_HankFerrarosShip,Orbital,0,SOL,4,54,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,001B832E,MS02Beacon01PlanetData,MS02Beacon01,Orbital,69192,Bel,5,20,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,0019E263,_LC129_City_CY_RedTape02OrbitalPlanetData,Governor Hurst's Ship,Orbital,0,SOL,28,55,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,001941CE,_IndumIIArrivalOrbitalPlanetData,IndumIIGravJumpArrival,Orbital,119135,Indum,2,18,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,001933D6,_SettleECSConstantOrbitalPlanetData,_SettleECSConstantOrbital,Orbital,61748,Porrima,2,27,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,0018334F,_RL048DerelictShipOrbitalPlanetData,_RL048DerelictShipOrbital,Orbital,89684,Leviathan,4,12,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,0017176B,_tempbetaPlanetData,_tempbeta,Orbital,667,_Test2,2,11,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,00155994,_OborumIIIJumpArrivalPlanetData,OborumIIIJumpArrival,Orbital,119220,Oborum Prime,41,46,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,0014EAA4,_RL088GrissomOrbitalPlanetData,_RL088GrissomOrbital,Orbital,71456,Alpha Centauri,6,26,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,0014A7B3,_LC102SirenoftheStarsOrbitalPlanetData,_LC102SirenoftheStarsOrbital,Orbital,72955,Aranae,4,15,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,0013B5B4,_scLC165PlanetData,_scLC165,Orbital,83021,Masada,3,19,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,001388E8,_DR019OrbitalPlanetData,_DR019Orbital,Orbital,103883,Bessel,5,8,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,0012DEE3,_NeptuneGravJumpArrivalPlanetData,NeptuneGravJumpArrival,Orbital,0,SOL,8,57,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,0011F78E,_scAsteroidCaveTest01PlanetData,scAsteroidCaveTest01,Orbital,666,_Test1,6,7,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,0011F78D,_scasteroidcavetest02PlanetData,AutoPickupTest,Orbital,666,_Test1,6,8,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,000B023E,_RL048DerelictResearchShipPlanetData,_RL048DerelictResearchShip,Orbital,87902,Schrodinger,3,24,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,0008D897,_TolimanIIArrivalCellPlanetData,_TolimanIIArrivalCell,Orbital,119223,Toliman,29,33,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,0007D46F,_LC043SYEmptyOrbitalPlanetData,_LC043SYEmptyOrbital,Orbital,36107,Luyten's Star,1,3,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,0007C6A7,_SettleTheClinicOrbitalPlanetData,_SettleTheClinicOrbital,Orbital,88327,Narion,5,21,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,0007BCC6,_VenusGravJumpArrivalPlanetData,VenusGravJumpArrival,Orbital,0,SOL,2,37,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,000753EB,_MarsGravJumpArrivalPlanetData,MarsGravJumpArrival,Orbital,0,SOL,4,36,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,000638EC,_JemisonGravJumpArrivalPlanetData,JemisonGravJumpArrival,Orbital,71456,Alpha Centauri,3,14,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,0005E816,_SEAC01OrbitalPlanetData,_SEAC01Orbital,Orbital,71731,Heinlein,1,25,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,0005E5A2,OphionI-aPlanetData,Ophion I-a,Moon,74309,Ophion,1,2,0,0,4,0,0
Starfield.esm,2026-09-04 12:50:50,0005E5A1,OphionIPlanetData,Ophion I,Planet,74309,Ophion,0,1,1,0,,,
Starfield.esm,2026-09-04 12:50:50,0005E59E,UmanahPlanetData,Umanah,Planet,77172,Nirah,0,8,0,0,2,0,1
Starfield.esm,2026-09-04 12:50:50,0005E59D,NraalPlanetData,N'raal,Moon,77172,Nirah,6,7,0,0,2,0,1
Starfield.esm,2026-09-04 12:50:50,0005E59C,NirahPrimePlanetData,Nirah Prime,Planet,77172,Nirah,0,6,1,0,,,
Starfield.esm,2026-09-04 12:50:50,0005E59B,KazaalPlanetData,Ka'zaal,Moon,77172,Nirah,4,5,0,0,6,10,0
Starfield.esm,2026-09-04 12:50:50,0005E59A,KazarahPlanetData,Kazarah,Planet,77172,Nirah,0,4,1,0,,,
Starfield.esm,2026-09-04 12:50:50,0005E599,DelahPlanetData,Delah,Planet,77172,Nirah,0,2,0,0,8,0,1
Starfield.esm,2026-09-04 12:50:50,0005E598,LontrahPlanetData,Lontrah,Planet,77172,Nirah,0,1,0,0,8,0,1
Starfield.esm,2026-09-04 12:50:50,0005E595,SiriusIII-aPlanetData,Sirius III-a,Moon,32263,Sirius,3,7,0,0,4,3,0
Starfield.esm,2026-09-04 12:50:50,0005E594,SiriusIII-bPlanetData,Sirius III-b,Moon,32263,Sirius,3,6,0,0,4,0,0
Starfield.esm,2026-09-04 12:50:50,0005E593,SiriusIIIPlanetData,Sirius III,Planet,32263,Sirius,0,3,1,0,,,
Starfield.esm,2026-09-04 12:50:50,0005E592,SiriusII-aPlanetData,Sirius II-a,Moon,32263,Sirius,2,5,0,0,4,3,0
Starfield.esm,2026-09-04 12:50:50,0005E591,SiriusIIPlanetData,Sirius II,Planet,32263,Sirius,0,2,0,0,4,6,0
Starfield.esm,2026-09-04 12:50:50,0005E590,SiriusIPlanetData,Sirius I,Planet,32263,Sirius,0,1,0,0,8,0,1
Starfield.esm,2026-09-04 12:50:50,0005E58A,TolimanII-cPlanetData,Toliman II-c,Moon,119223,Toliman,29,32,0,0,4,0,0
Starfield.esm,2026-09-04 12:50:50,0005E589,TolimanII-aPlanetData,Toliman II-a,Moon,119223,Toliman,29,31,0,0,4,0,0
Starfield.esm,2026-09-04 12:50:50,0005E588,TolimanII-bPlanetData,Toliman II-b,Moon,119223,Toliman,29,30,0,0,4,0,0
Starfield.esm,2026-09-04 12:50:50,0005E587,TolimanIIPlanetData,Toliman II,Planet,119223,Toliman,0,29,0,0,4,6,0
Starfield.esm,2026-09-04 12:50:50,0005E586,TolimanIPlanetData,Toliman I,Planet,119223,Toliman,0,28,0,0,8,0,1
Starfield.esm,2026-09-04 12:50:50,0005E583,RevasWorldPlanetData,Reva's World,Planet,83865,Lunara,0,8,0,0,2,0,1
Starfield.esm,2026-09-04 12:50:50,0005E582,NyarlothPlanetData,Nyarloth,Moon,83865,Lunara,7,24,0,0,2,0,1
Starfield.esm,2026-09-04 12:50:50,0005E581,UvhanPlanetData,Uvhan,Moon,83865,Lunara,7,23,0,0,2,0,1
Starfield.esm,2026-09-04 12:50:50,0005E580,Az-ValokPlanetData,Az-Valok,Moon,83865,Lunara,7,22,0,0,2,0,1
Starfield.esm,2026-09-04 12:50:50,0005E57F,CtholPlanetData,Cthol,Planet,83865,Lunara,0,7,1,0,,,
Starfield.esm,2026-09-04 12:50:50,0005E57A,OkoroDeltaPlanetData,Okoro Delta,Moon,83865,Lunara,6,21,0,0,2,0,1
Starfield.esm,2026-09-04 12:50:50,0005E577,OkoroEpsilonPlanetData,Okoro Epsilon,Moon,83865,Lunara,6,20,0,0,2,0,1
Starfield.esm,2026-09-04 12:50:50,0005E576,OkoroBetaPlanetData,Okoro Beta,Moon,83865,Lunara,6,19,0,0,2,0,1
Starfield.esm,2026-09-04 12:50:50,0005E575,OkoroAlphaPlanetData,Okoro Alpha,Moon,83865,Lunara,6,18,0,0,2,0,1
Starfield.esm,2026-09-04 12:50:50,0005E574,OkoroGammaPlanetData,Okoro Gamma,Moon,83865,Lunara,6,17,0,0,2,0,1
Starfield.esm,2026-09-04 12:50:50,0005E573,OkoroPlanetData,Okoro,Planet,83865,Lunara,0,6,1,0,,,
Starfield.esm,2026-09-04 12:50:50,0005E572,GasparisPlanetData,Gasparis,Moon,83865,Lunara,5,16,0,0,2,0,1
Starfield.esm,2026-09-04 12:50:50,0005E571,LilliusPlanetData,Lillius,Moon,83865,Lunara,5,15,0,0,2,0,1
Starfield.esm,2026-09-04 12:50:50,0005E570,AbettiPlanetData,Abetti,Moon,83865,Lunara,5,14,0,0,2,0,1
Starfield.esm,2026-09-04 12:50:50,0005E56F,CassiniPlanetData,Cassini,Planet,83865,Lunara,0,5,1,0,,,
Starfield.esm,2026-09-04 12:50:50,0005E56E,CriusPlanetData,Crius,Moon,83865,Lunara,4,13,0,0,4,0,0
Starfield.esm,2026-09-04 12:50:50,0005E56D,CoeusPlanetData,Coeus,Moon,83865,Lunara,4,12,0,0,4,0,0
Starfield.esm,2026-09-04 12:50:50,0005E56C,GaeaPlanetData,Gaea,Planet,83865,Lunara,0,4,0,0,4,0,0
Starfield.esm,2026-09-04 12:50:50,0005E56B,EarrachPlanetData,Earrach,Moon,83865,Lunara,3,26,0,0,4,0,0
Starfield.esm,2026-09-04 12:50:50,0005E56A,PetriaPlanetData,Petria,Planet,83865,Lunara,0,3,0,0,4,6,0
Starfield.esm,2026-09-04 12:50:50,0005E569,VestaLunarisPlanetData,Vesta Lunaris,Moon,83865,Lunara,2,25,0,0,6,0,0
Starfield.esm,2026-09-04 12:50:50,0005E568,VestaPlanetData,Vesta,Planet,83865,Lunara,0,2,0,0,6,6,3
Starfield.esm,2026-09-04 12:50:50,0005E567,RemusPlanetData,Remus,Moon,83865,Lunara,1,11,0,0,8,0,1
Starfield.esm,2026-09-04 12:50:50,0005E565,RomulusPlanetData,Romulus,Moon,83865,Lunara,1,10,0,0,8,0,1
Starfield.esm,2026-09-04 12:50:50,0005E564,NumitorPlanetData,Numitor,Planet,83865,Lunara,0,1,0,0,8,0,1
Starfield.esm,2026-09-04 12:50:50,0005E561,CruthPlanetData,Cruth,Planet,88327,Narion,0,7,0,0,2,0,1
Starfield.esm,2026-09-04 12:50:50,0005E560,_NewGameQuickStartPlanetData,NewGameQuickStart,Orbital,88327,Narion,14,18,0,0,,,0
Starfield.esm,2026-09-04 12:50:50,0005E55F,AnselonPlanetData,Anselon,Planet,88327,Narion,0,6,1,0,,,
Starfield.esm,2026-09-04 12:50:50,0005E55E,XandarPlanetData,Grimsey,Moon,88327,Narion,5,13,0,0,4,0,0
Starfield.esm,2026-09-04 12:50:50,0005E55D,DalvikPlanetData,Dalvik,Moon,88327,Narion,5,12,0,0,2,0,1
Starfield.esm,2026-09-04 12:50:50,0005E55C,DeepalaPlanetData,Deepala,Planet,88327,Narion,0,5,1,0,,,
Starfield.esm,2026-09-04 12:50:50,0005E55B,HyperiaPlanetData,Hyperia,Moon,88327,Narion,4,11,0,0,2,0,1
Starfield.esm,2026-09-04 12:50:50,0005E55A,MagrethPlanetData,Magreth,Planet,88327,Narion,0,4,0,0,2,0,1
Starfield.esm,2026-09-04 12:50:50,0005E559,GryphusPlanetData,Gryphus,Moon,88327,Narion,3,8,0,0,4,0,0
Starfield.esm,2026-09-04 12:50:50,0005E558,DanraPlanetData,Danra,Planet,88327,Narion,0,3,0,0,4,0,0
Starfield.esm,2026-09-04 12:50:50,0005E557,AndraphonPlanetData,Andraphon,Moon,88327,Narion,2,9,0,0,6,0,0
Starfield.esm,2026-09-04 12:50:50,0005E556,SumatiPlanetData,Sumati,Planet,88327,Narion,0,2,0,0,6,6,0
Starfield.esm,2026-09-04 12:50:50,0005E555,NiiraPlanetData,Niira,Planet,88327,Narion,0,1,0,0,6,6,3
Starfield.esm,2026-09-04 12:50:50,0005E552,VirumPlanetData,Virum,Moon,119198,Valo,5,12,0,0,2,0,1
Starfield.esm,2026-09-04 12:50:50,0005E551,KindiPlanetData,Kindi,Moon,119198,Valo,5,11,0,0,2,0,1
Starfield.esm,2026-09-04 12:50:50,0005E550,GolgaPlanetData,Golga,Moon,119198,Valo,5,10,0,0,2,0,1
Starfield.esm,2026-09-04 12:50:50,0005E54F,ShorunPlanetData,Shorun,Moon,119198,Valo,5,9,0,0,2,0,1
Starfield.esm,2026-09-04 12:50:50,0005E54E,LumosPlanetData,Lumos,Planet,119198,Valo,0,5,1,0,,,
Starfield.esm,2026-09-04 12:50:50,0005E54D,HillexPlanetData,Hillex,Planet,119198,Valo,0,4,0,0,2,0,1
Starfield.esm,2026-09-04 12:50:50,0005E54C,PraxPlanetData,Prax,Planet,119198,Valo,0,3,0,0,2,0,1
Starfield.esm,2026-09-04 12:50:50,0005E54B,CantraPlanetData,Cantra,Planet,119198,Valo,0,2,0,0,4,0,0
Starfield.esm,2026-09-04 12:50:50,0005E54A,MiathaPlanetData,Miatha,Moon,119198,Valo,1,8,0,0,6,0,0
Starfield.esm,2026-09-04 12:50:50,0005E547,BolivarIPlanetData,Bolivar I,Planet,118818,Bolivar,0,1,0,0,6,6,0
Starfield.esm,2026-09-04 12:50:50,0005E543,RiveraV-aPlanetData,Rivera V-a,Moon,118819,Rivera,5,13,0,0,2,0,1
Starfield.esm,2026-09-04 12:50:50,0005E542,RiveraVPlanetData,Rivera V,Planet,118819,Rivera,0,5,1,0,,,
Starfield.esm,2026-09-04 12:50:50,0005E541,RiveraIV-aPlanetData,Rivera IV-a,Moon,118819,Rivera,4,12,0,0,2,0,1
Starfield.esm,2026-09-04 12:50:50,0005E540,RiveraIVPlanetData,Rivera IV,Planet,118819,Rivera,0,4,0,0,2,0,1
Starfield.esm,2026-09-04 12:50:50,0005E53F,RiveraIIIPlanetData,Rivera III,Planet,118819,Rivera,0,3,0,0,2,0,1
Starfield.esm,2026-09-04 12:50:50,0005E53E,RiveraII-cPlanetData,Rivera II-c,Moon,118819,Rivera,2,11,0,0,2,0,1
Starfield.esm,2026-09-04 12:50:50,0005E53D,RiveraII-bPlanetData,Rivera II-b,Moon,118819,Rivera,2,10,0,0,2,0,1
Starfield.esm,2026-09-04 12:50:50,0005E53C,RiveraII-aPlanetData,Rivera II-a,Moon,118819,Rivera,2,9,0,0,2,0,1
Starfield.esm,2026-09-04 12:50:50,0005E53B,RiveraIIPlanetData,Rivera II,Planet,118819,Rivera,0,2,0,0,2,0,1
Starfield.esm,2026-09-04 12:50:50,0005E53A,RiveraI-aPlanetData,Rivera I-a,Moon,118819,Rivera,1,8,0,0,6,0,0
Starfield.esm,2026-09-04 12:50:50,0005E539,RiveraIPlanetData,Rivera I,Planet,118819,Rivera,0,1,0,0,4,10,2
Starfield.esm,2026-09-04 12:50:50,0005E536,BardeenVII-aPlanetData,Bardeen VII-a,Moon,90582,Bardeen,7,22,0,0,2,0,1
Starfield.esm,2026-09-04 12:50:50,0005E535,BardeenVIIPlanetData,Bardeen VII,Planet,90582,Bardeen,0,7,1,0,,,
Starfield.esm,2026-09-04 12:50:50,0005E534,BardeenVI-bPlanetData,Bardeen VI-b,Moon,90582,Bardeen,6,14,0,0,2,0,1
Starfield.esm,2026-09-04 12:50:50,0005E533,BardeenVI-aPlanetData,Bardeen VI-a,Moon,90582,Bardeen,6,13,0,0,2,0,1
Starfield.esm,2026-09-04 12:50:50,0005E532,BardeenVIPlanetData,Bardeen VI,Planet,90582,Bardeen,0,6,0,0,2,0,1
Starfield.esm,2026-09-04 12:50:50,0005E531,BardeenV-fPlanetData,Bardeen V-f,Moon,90582,Bardeen,5,21,0,0,2,0,1
Starfield.esm,2026-09-04 12:50:50,0005E530,BardeenV-cPlanetData,Bardeen V-c,Moon,90582,Bardeen,5,20,0,0,4,6,0
Starfield.esm,2026-09-04 12:50:50,0005E52F,BardeenV-ePlanetData,Bardeen V-e,Moon,90582,Bardeen,5,19,0,0,2,0,1
Starfield.esm,2026-09-04 12:50:50,0005E52E,BardeenV-aPlanetData,Bardeen V-a,Moon,90582,Bardeen,5,18,0,0,4,0,0
Starfield.esm,2026-09-04 12:50:50,0005E52D,BardeenV-bPlanetData,Bardeen V-b,Moon,90582,Bardeen,5,17,0,0,4,3,0
Starfield.esm,2026-09-04 12:50:50,0005E52C,BardeenV-dPlanetData,Bardeen V-d,Moon,90582,Bardeen,5,16,0,0,2,6,3
Starfield.esm,2026-09-04 12:50:50,0005E52B,BardeenVPlanetData,Bardeen V,Planet,90582,Bardeen,0,5,1,0,,,
Starfield.esm,2026-09-04 12:50:50,0005E52A,BardeenIV-aPlanetData,Bardeen IV-a,Moon,90582,Bardeen,4,15,0,0,2,0,1
Starfield.esm,2026-09-04 12:50:50,0005E529,BardeenIVPlanetData,Bardeen IV,Planet,90582,Bardeen,0,4,1,0,,,
Starfield.esm,2026-09-04 12:50:50,0005E528,BardeenIII-bPlanetData,Bardeen III-b,Moon,90582,Bardeen,3,11,0,0,6,0,0
Starfield.esm,2026-09-04 12:50:50,0005E527,BardeenIII-aPlanetData,Bardeen III-a,Moon,90582,Bardeen,3,10,0,0,6,0,0
Starfield.esm,2026-09-04 12:50:50,0005E526,BardeenIIIPlanetData,Bardeen III,Planet,90582,Bardeen,0,3,0,0,6,6,0
Starfield.esm,2026-09-04 12:50:50,0005E525,BardeenIIPlanetData,Bardeen II,Planet,90582,Bardeen,0,2,0,0,6,0,0
Starfield.esm,2026-09-04 12:50:50,0005E524,BardeenI-aPlanetData,Bardeen I-a,Moon,90582,Bardeen,1,9,0,0,8,0,1
Starfield.esm,2026-09-04 12:50:50,0005E523,BardeenIPlanetData,Bardeen I,Planet,90582,Bardeen,0,1,0,0,8,10,2
