SourceFile,ExtractTimestamp,FormID,EditorID,Name,Rarity,ChildSourceFile,ChildFormID,ChildEditorID,ChildName,ChildRarity
"Starfield.esm","2026-09-02 23:25:44","000057C9","ResInorgUncommonAlkanes_G","Alkanes","Uncommon","","","","",""
"Starfield.esm","2026-09-02 23:25:44","000057E7","ResInorgUncommonBenzene_G","Benzene","Uncommon","Starfield.esm","000057E8","ResInorgRareCarboxylicAcids_L","Carboxylic Acids","Rare"
"Starfield.esm","2026-09-02 23:25:44","000057D8","ResInorgUncommonBeryllium","Beryllium","Uncommon","","","","",""
"Starfield.esm","2026-09-02 23:25:44","000057D7","ResInorgUncommonChlorosilanes_L","Chlorosilanes","Uncommon","Starfield.esm","000057DA","ResInorgRareLithium","Lithium","Rare"
"Starfield.esm","2026-09-02 23:25:44","000057CE","ResInorgUncommonCobalt","Cobalt","Uncommon","Starfield.esm","000057CC","ResInorgRarePlatinum","Platinum","Rare"
"Starfield.esm","2026-09-02 23:25:44","000057D0","ResInorgUncommonFluorine_G","Fluorine","Uncommon","Starfield.esm","000057D1","ResInorgRareTetrafluorides_G","Tetrafluorides","Rare"
"Starfield.esm","2026-09-02 23:25:44","000057EC","ResInorgUncommonIridium","Iridium","Uncommon","","","","",""
"Starfield.esm","2026-09-02 23:25:44","000057C3","ResInorgUncommonSilver","Silver","Uncommon","Starfield.esm","0027C499","ResInorgRareMercury_L","Mercury","Rare"
"Starfield.esm","2026-09-02 23:25:44","000057C4","ResInorgUncommonTungsten","Tungsten","Uncommon","Starfield.esm","000057C6","ResInorgRareTitanium","Titanium","Rare"
"Starfield.esm","2026-09-02 23:25:44","00005DF5","ResInorgUniqueAldumite","Aldumite","Unique","","","","",""
"Starfield.esm","2026-09-02 23:25:44","00006529","ResInorgUniqueAqueousHematite","Aqueous Hematite","Unique","","","","",""
"Starfield.esm","2026-09-02 23:25:44","00252074","ResInorgUniqueCaelumite","Caelumite","Exotic","","","","",""
"Starfield.esm","2026-09-02 23:25:44","0004BA38","ResInorgUniqueIndicite","Indicite","Unique","","","","",""
"Starfield.esm","2026-09-02 23:25:44","00005DF1","ResInorgUniqueRothicite","Rothicite","Unique","","","","",""
"Starfield.esm","2026-09-02 23:25:44","00005DF6","ResInorgUniqueTasine_L","Tasine","Unique","","","","",""
"Starfield.esm","2026-09-02 23:25:44","00005DF7","ResInorgUniqueVeryl_G","Veryl","Unique","","","","",""
"Starfield.esm","2026-09-02 23:25:44","00005DF8","ResInorgUniqueVytinium","Vytinium","Unique","","","","",""
